DATAFLOW,AREA_REF,FREQ,INDICADOR,SEXO,TIME_PERIOD,OBS_VALUE,OBS_STATUS,DECIMALS,CISE,UNIDAD,MULT
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2018,4523.55,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2018,3542.884,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2019,3610.314,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2019,5140.487,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2019,3889.082,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2019,3808.182,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2019,5752.013,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2019,4068.441,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2019,3237.35,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2019,4633.214,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2019,3600.212,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2020,3713.827,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2020,5105.96,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2020,4002.819,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2020,3854.893,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2020,5578.921,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2020,4128.679,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2020,3441.54,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2020,4678.555,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2020,3797.012,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2021,4019.089,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2021,5291.617,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,_T,2021,4257.094,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2021,4159.647,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2021,5869.471,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,M,2021,4402.665,,0,CISE_1,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2021,3763.252,,0,CISE_1A,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2021,4789.801,,0,CISE_1B,CLPHR,0
SIMEL_CL:DF_YHNDEP_SEXO(1.0),_T,A,YHNDEP,F,2021,4027.844,,0,CISE_1,CLPHR,0
