DATAFLOW,AREA_REF,FREQ,INDICADOR,SEXO,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIDAD,MULT
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,M,2017,7.043410889113256,1,RT,0
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,F,2017,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),09,A,TLOF,_T,2017,4.288162750070248,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,M,2017,9.340011441514015,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,F,2017,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),10,A,TLOF,_T,2017,5.769265440297117,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,M,2017,36.90547584997924,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,F,2017,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),11,A,TLOF,_T,2017,20.014009806864806,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,M,2017,11.571097968629498,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,F,2017,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),12,A,TLOF,_T,2017,6.727286997275448,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,M,2017,2.675654487384739,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,F,2017,0.27660644233692233,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),13,A,TLOF,_T,2017,1.6849104630726528,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,M,2017,16.44073701475363,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,F,2017,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),14,A,TLOF,_T,2017,9.903815091056153,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,M,2017,23.174254947703503,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,F,2017,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),15,A,TLOF,_T,2017,12.927161906239295,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,M,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,F,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),16,A,TLOF,_T,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,M,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,F,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_X,A,TLOF,_T,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,M,2017,6.087225030284678,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,F,2017,0.42643165544322365,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,_X,2017,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),_T,A,TLOF,_T,2017,3.8029243168731925,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,M,2018,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,F,2018,3.6466405324095175,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),01,A,TLOF,_T,2018,1.4173524093219276,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,M,2018,13.882507709749863,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,F,2018,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),02,A,TLOF,_T,2018,9.365608260020526,1,RT,0
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,M,2018,25.806905693355308,1,RT,0
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,F,2018,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),03,A,TLOF,_T,2018,16.810489745601263,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,M,2018,13.009450577392936,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,F,2018,1.7033985640350124,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),04,A,TLOF,_T,2018,8.376373739835667,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,M,2018,8.330111451458539,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,F,2018,0.563410436051507,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),05,A,TLOF,_T,2018,5.291037368502565,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,M,2018,8.2251410928049,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,F,2018,1.0290827356792425,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),06,A,TLOF,_T,2018,5.485336357233851,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,M,2018,6.326511245373739,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,F,2018,0,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,_X,2018,NA,1,RT,0
CL01:DF_TLOF_SEXO(1.0),07,A,TLOF,_T,2018,3.9040450787071808,1,RT,0
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,M,2018,8.054473812732226,1,RT,0
CL01:DF_TLOF_SEXO(1.0),08,A,TLOF,F,2018,1.176079138365223,1,RT,0
